p,avg_Log2FC,pct.1,pct.2,p_adj,cluster_my,symbol,group
0,3.0072143820743404,0.9,0.17,0,0,GZMH,all
0,2.4693937145250437,0.784,0.149,0,0,FGFBP2,all
0,1.7898166386747005,0.906,0.301,0,0,CST7,all
0,2.142608215776285,0.995,0.423,0,0,CCL5,all
0,2.097975315181946,0.995,0.446,0,0,NKG7,all
0,1.6997593820350603,0.692,0.163,0,0,GZMB,all
0,1.5551497417463445,0.805,0.323,0,0,CTSW,all
0,-3.5338906090058098,0.134,0.607,0,0,LTB,all
0,1.5938362938917467,0.82,0.384,0,0,CD3D,all
0,1.4096255829061746,0.68,0.249,0,0,GZMA,all
0,2.4055159989185415,0.599,0.17,0,0,CD8A,all
0,1.8457263984341061,0.643,0.235,0,0,C12orf75,all
0,1.6477924912115753,0.601,0.198,0,0,KLRD1,all
0,1.296649729668844,0.592,0.207,0,0,PRF1,all
0,2.1766736516293306,0.527,0.148,0,0,CD8B,all
0,1.768274820859552,0.646,0.28,0,0,CD3G,all
0,2.4550094552780406,0.458,0.116,0,0,TRGC2,all
0,1.3481973166382957,0.813,0.509,0,0,CD99,all
0,0.7511415784990696,0.997,0.971,0,0,HLA-A,all
0,1.0112559352135113,0.998,0.976,0,0,HLA-C,all
0,0.8845804750486526,1,0.993,0,0,HLA-B,all
0,0.8239025943239477,1,1,0,0,B2M,all
7.019823805614422e-302,0.45474973641742444,1,0.999,1.414985884497699e-297,0,MALAT1,all
3.609159887363919e-297,0.9854190525194735,0.933,0.548,7.274983584959452e-293,0,IL32,all
1.2769315884263656e-285,1.4138097791110305,0.655,0.295,2.573911002791025e-281,0,GNLY,all
1.052226973403116e-282,1.5007045614061978,0.622,0.263,2.1209739102886607e-278,0,GZMM,all
2.45000946656959e-276,1.1459795875030652,0.801,0.444,4.938484081764322e-272,0,CD3E,all
9.849909582359015e-271,-3.44219130440708,0.163,0.541,1.9854462745161067e-266,0,FOS,all
7.180212146592728e-264,1.287962693364628,0.745,0.457,1.4473153623886962e-259,0,PPP2R5C,all
5.516210391988883e-242,3.832874203213132,0.191,0.019,1.1119025287131991e-237,0,ZNF683,all
3.754842573871958e-239,1.4209769350317245,0.574,0.244,7.568636176153706e-235,0,LYAR,all
4.7052776362468855e-237,0.9967130892129816,0.833,0.576,9.484428131382846e-233,0,HCST,all
6.737306066989261e-235,0.7956173342360229,0.968,0.867,1.3580387839230253e-230,0,CD52,all
1.950558605534777e-231,-3.745126587270463,0.22,0.526,3.93174098117645e-227,0,HLA-DRA,all
4.438844020633634e-222,2.2549558804473486,0.285,0.062,8.947377892391216e-218,0,ADGRG1,all
2.4301784020040363e-220,-0.8168460909126796,0.784,0.905,4.898510604919536e-216,0,PABPC1,all
3.1754415954411294e-210,0.7198605540129424,0.951,0.844,6.400737623930684e-206,0,SH3BGRL3,all
1.5885745498029204e-208,2.4292107070826634,0.247,0.048,3.2020897200377464e-204,0,PRSS23,all
1.569325647679279e-201,1.022928977101968,0.753,0.517,3.163289708027123e-197,0,LITAF,all
1.4096237519908184e-200,2.269709255191739,0.282,0.068,2.8413785968878926e-196,0,C1orf21,all
1.6468307973365435e-199,1.3252869015463733,0.345,0.098,3.3195168381912707e-195,0,CCL4,all
1.6027653341611483e-192,-2.1887306534006328,0.242,0.552,3.2306940840686264e-188,0,COTL1,all
8.747619064340806e-191,-0.5023094749630088,0.989,0.991,1.7632575747991762e-186,0,RPS13,all
1.78578184493629e-187,1.6721663545953562,0.396,0.143,3.5996004648380796e-183,0,AC092580.4,all
1.0650017752732878e-180,1.4397815157834302,0.549,0.29,2.1467240784183664e-176,0,ITGB1,all
4.512064667878545e-179,-4.448623122703271,0.033,0.306,9.094968751042783e-175,0,HLA-DQB1,all
2.247348891741968e-176,-0.40626925132051905,1,0.998,4.529981161084285e-172,0,RPL13,all
5.131353060730605e-174,-0.5095938586752826,0.993,0.991,1.0343268364514681e-169,0,RPS8,all
2.953130485340204e-171,-4.721267263184441,0.031,0.292,5.952625119300249e-167,0,FCER1G,all
3.170003614964643e-170,0.7674482959892646,0.861,0.714,6.389776286684231e-166,0,CALM1,all
3.0009421924059386e-169,-1.6987066568174598,0.436,0.676,6.04899917723265e-165,0,DUSP1,all
4.399935863846156e-167,-0.4805661237893535,0.986,0.987,8.868950720754697e-163,0,RPL8,all
9.731385091611221e-166,2.0637677408003787,0.265,0.071,1.9615552929160738e-161,0,TBX21,all
1.147137831576016e-162,1.0020963695661398,0.672,0.385,2.3122857271077757e-158,0,TRAC,all
3.0035709711707404e-160,1.2078738846997767,0.575,0.308,6.054298006588862e-156,0,TRBC1,all
1.7490607912653031e-159,0.8787746772847882,0.757,0.537,3.5255818369534716e-155,0,ITGB2,all
3.3712779549851417e-157,-4.650651708720414,0.034,0.281,6.79548497386355e-153,0,AIF1,all
1.16517069327441e-156,0.5742622021276995,0.961,0.902,2.348634566433228e-152,0,PFN1,all
2.0341123080254376e-156,2.1309907166157513,0.218,0.05,4.100160179286874e-152,0,FCRL6,all
4.380541337051689e-153,-0.432042968630987,0.987,0.99,8.82985717309509e-149,0,RPS9,all
3.3301374052673837e-152,-0.33385600819421857,0.997,0.997,6.712557967797465e-148,0,RPL39,all
1.1093654289899181e-151,-2.4770839985604303,0.674,0.801,2.236147895214978e-147,0,CD74,all
9.754523200188047e-151,1.0089269772332314,0.606,0.347,1.9662192414619047e-146,0,EFHD2,all
1.104842830126298e-150,-0.4270437900684172,0.99,0.988,2.227031692685579e-146,0,RPL9,all
1.9023273627066114e-150,-4.3271595016255,0.05,0.296,3.8345212650077166e-146,0,LST1,all
6.757658644853307e-150,-2.153040488561686,0.129,0.406,1.362141253043081e-145,0,CH17-373J23.1,all
1.2618242921146413e-149,-0.39713791481999827,0.998,0.998,2.5434592256154824e-145,0,RPLP1,all
1.8424541204361913e-148,-0.3758617692942341,0.999,0.997,3.713834770563231e-144,0,RPL32,all
1.8070902088592622e-144,1.0986350569101428,0.485,0.235,3.6425517339976146e-140,0,HOPX,all
4.8374780243442616e-141,-1.2318900278910876,0.641,0.784,9.75090445367073e-137,0,JUNB,all
5.633922444081771e-139,-0.35564799092962485,0.999,0.998,1.1356297470535626e-134,0,RPL34,all
1.8399050615774646e-138,0.503577416939986,0.963,0.906,3.7086966326216953e-134,0,HLA-E,all
1.3093133424983505e-136,-3.3305915240564037,0.033,0.26,2.639182904473925e-132,0,NCF1,all
1.940752259336903e-134,-0.3452250125473597,0.997,0.996,3.911974329145396e-130,0,RPL11,all
4.5254268273100856e-133,1.3598060964320329,0.353,0.142,9.12190285580894e-129,0,MATK,all
5.637454943734124e-133,-4.603242239160326,0.014,0.223,1.1363417930084874e-128,0,SPI1,all
1.8695580527963068e-130,-6.4685377002026865,0.003,0.202,3.768468167021516e-126,0,MEF2C,all
5.360083560140087e-130,-3.996470511739534,0.019,0.229,1.0804320432174374e-125,0,HLA-DMB,all
3.6902478961309675e-129,-0.40020867497269386,0.997,0.993,7.438432684231191e-125,0,RPS23,all
1.4994842336660424e-128,-5.478730509585573,0.013,0.214,3.0225103698006416e-124,0,CD79A,all
1.1229896367289758e-126,1.6137459977826938,0.268,0.089,2.2636102107545964e-122,0,S1PR5,all
1.7748884255263866e-124,-4.988149147440991,0.014,0.211,3.5776425993335376e-120,0,HLA-DQA1,all
2.1957134717869983e-123,1.241988107052482,0.451,0.236,4.4258996450810526e-119,0,PRKCH,all
7.937980769688498e-123,0.6360591441156744,0.864,0.756,1.6000587837461104e-118,0,UBB,all
7.738122843697217e-121,-2.6147744992042377,0.139,0.371,1.559773421604048e-116,0,GPX1,all
2.3438483985512036e-120,3.2677119344419614,0.119,0.017,4.724495216959661e-116,0,PROK2,all
1.3770681803340856e-118,1.4764061424702875,0.356,0.161,2.7757563310994163e-114,0,LINC00152,all
2.34562808635086e-118,-5.088450809478285,0.021,0.213,4.728082533657429e-114,0,FCN1,all
1.5832721086701234e-117,-2.1733362000199845,0.088,0.313,3.1914015894463676e-113,0,CFP,all
4.6281928852544804e-117,0.8438764348236989,0.642,0.42,9.329048398807456e-113,0,MYO1F,all
4.133763847029572e-115,-5.253598515634749,0.005,0.186,8.332427786457509e-111,0,IFNGR2,all
1.1130808474478824e-114,0.4596222167149069,0.93,0.839,2.2436370642006965e-110,0,GAPDH,all
1.0243007213224143e-113,1.196916313769144,0.451,0.244,2.0646829639695904e-109,0,CHST12,all
1.972179826714686e-112,0.3669566604833676,0.964,0.764,3.975322876708793e-108,0,S100A4,all
1.0562555390678934e-111,-5.807090006720361,0.007,0.183,2.1290942900991527e-107,0,CSTA,all
1.1988919422068655e-111,-4.989907628685784,0.019,0.202,2.4166064879063788e-107,0,IGHM,all
1.4479837312348396e-111,-1.1145393381920687,0.965,0.97,2.918700807050066e-107,0,FTH1,all
1.1842638982711738e-110,-2.7039481234592064,0.038,0.236,2.387120739745205e-106,0,GPR183,all
3.7237106461766317e-110,-5.175131685857695,0.011,0.187,7.505883549498236e-106,0,MS4A1,all
5.72782524695176e-110,0.7108166583216957,0.707,0.476,1.1545577350280663e-105,0,ANXA1,all
9.839455172572541e-110,-4.123688732849863,0.01,0.188,1.983338979135447e-105,0,CAPG,all
1.4957943965492244e-109,1.182264091419516,0.48,0.287,3.0150727651242717e-105,0,C9orf142,all
2.492093242155067e-108,-3.870391017210169,0.026,0.21,5.023312348211969e-104,0,CD79B,all
4.206587529839838e-108,1.0772248521367382,0.606,0.441,8.479218483898162e-104,0,CALR,all
6.047049792562619e-107,1.176101130110544,0.427,0.225,1.218903826686847e-102,0,SYNE2,all
8.846948614670932e-107,-0.35017804891081905,0.993,0.992,1.7832794322592198e-102,0,RPL12,all
9.019577282865796e-107,-0.3653067008455668,0.984,0.985,1.8180761929072587e-102,0,RPL18,all
1.1871726558241003e-106,1.0065023144921428,0.561,0.372,2.392983922344639e-102,0,SUN2,all
1.8202951931930007e-106,-5.779693051527794,0.085,0.281,3.6691690209191314e-102,0,LYZ,all
2.6924542658465575e-106,-5.033147883772527,0.006,0.175,5.427180063666906e-102,0,CCR7,all
2.9525397683059795e-106,2.055045882007928,0.186,0.053,5.951434410974363e-102,0,LAG3,all
7.508920943064492e-106,1.0386673148074044,0.551,0.356,1.5135731944935096e-101,0,RARRES3,all
1.341444898236184e-105,-4.149218480927667,0.097,0.29,2.703950481374676e-101,0,CST3,all
2.782744711549191e-104,1.34720800185409,0.346,0.162,5.609178515069704e-100,0,SYTL3,all
2.853420790009009e-104,-1.43902170106828,0.162,0.397,5.751640286421159e-100,0,SELL,all
9.445595578820961e-104,2.020300492913112,0.223,0.077,1.903948700822941e-99,0,PATL2,all
1.0888736293704596e-103,-4.536315609909438,0.011,0.181,2.1948425747220353e-99,0,IRF8,all
2.004326170674915e-102,1.1312024947473658,0.44,0.245,4.0401202622294264e-98,0,CD2,all
2.3090103330525825e-102,-5.7774958058058115,0.004,0.166,4.654272128334091e-98,0,MARCKS,all
2.8369565218715346e-102,-5.511169144156845,0.082,0.277,5.7184532611364524e-98,0,S100A9,all
4.4213559050685615e-102,-5.318494812285383,0.004,0.166,8.912127097846699e-98,0,MARCH1,all
4.623523217821034e-102,0.8346532602382615,0.644,0.484,9.319635750161858e-98,0,TGFB1,all
2.5934822990766814e-101,-2.3653697057539365,0.08,0.281,5.227682270248867e-97,0,AP1S2,all
3.1541422638837176e-101,1.0939981432452135,0.443,0.253,6.357804561310409e-97,0,ABHD17A,all
5.6845306140544525e-101,1.039080245637623,0.531,0.356,1.145830835874956e-96,0,YWHAQ,all
6.243945172277272e-101,1.0516637056965679,0.612,0.424,1.2585920283759297e-96,0,TRBC2,all
1.1937226765239513e-100,1.6533243888480773,0.248,0.093,2.4061867990693284e-96,0,CEP78,all
1.711365471202762e-99,0.5139557757018589,0.903,0.834,3.449599380303407e-95,0,UBC,all
4.35356831003714e-99,-2.1805359887317906,0.08,0.278,8.775487642541862e-95,0,HLA-DMA,all
8.149884025739685e-99,-2.896799442213204,0.028,0.204,1.6427721230683485e-94,0,FAM26F,all
1.567390566049106e-98,-0.3225440545799696,0.997,0.995,3.1593891639851826e-94,0,RPS3A,all
1.713656796267697e-98,-4.975918866584401,0.044,0.223,3.454218004236797e-94,0,RP11-1143G9.4,all
2.503869319650224e-98,-6.135462540168197,0.004,0.16,5.047049387618957e-94,0,MNDA,all
1.4789138535986984e-97,1.300509594136234,0.33,0.155,2.981046654698896e-93,0,APMAP,all
1.6334057107750057e-97,-2.4642831845536417,0.187,0.376,3.292455891209179e-93,0,TYROBP,all
6.384249563629748e-97,-5.1382762664501085,0.007,0.163,1.2868731845408483e-92,0,CYBB,all
9.233118064366197e-97,1.5621439626996219,0.306,0.142,1.8611196082342944e-92,0,MRPL10,all
2.2349566636582855e-96,-5.008517723740053,0.009,0.165,4.505002146936006e-92,0,CLEC7A,all
5.8345268998734985e-96,-3.220853416503257,0.029,0.2,1.176065587207501e-91,0,CEBPD,all
1.5611986634616765e-95,0.48796622203697426,0.919,0.864,3.1469081459397016e-91,0,CFL1,all
1.863795448754317e-95,-0.40883257675772144,0.945,0.96,3.7568524860540764e-91,0,RPL22,all
3.7291209497438985e-95,-4.476383395420977,0.012,0.169,7.516789098398776e-91,0,SERPINA1,all
6.43725730157912e-95,1.6768320042291438,0.221,0.079,1.2975579542793033e-90,0,PLEKHF1,all
3.984748172854568e-94,0.9430657744162845,0.524,0.328,8.032056892022952e-90,0,LCK,all
1.0225686397421988e-93,-1.8609007326540001,0.086,0.283,2.0611916071283502e-89,0,C1orf162,all
7.071432386771544e-93,-0.334911069066786,0.997,0.996,1.4253886262015402e-88,0,RPL18A,all
1.1425665875040317e-92,-4.3737740363850195,0.013,0.168,2.3030714704318766e-88,0,CFD,all
1.5998005377046124e-92,-2.5602368332434837,0.041,0.216,3.224717943851187e-88,0,POU2F2,all
2.2190428218387714e-92,-2.1448475312851465,0.062,0.248,4.472924615980411e-88,0,FOSB,all
6.123796218278997e-92,2.0730287092504014,0.183,0.059,1.2343736037184974e-87,0,MIAT,all
1.1613447497390745e-91,-0.27130166750596985,0.999,0.996,2.3409226120490525e-87,0,RPS28,all
1.4372492429787274e-91,-2.1139389613541444,0.085,0.273,2.8970632990722208e-87,0,LYN,all
3.9040438627505564e-91,-5.395304689777103,0.011,0.162,7.869381214146296e-87,0,VCAN,all
4.394667307787874e-91,-2.0855398169873163,0.274,0.466,8.858330892308018e-87,0,CTSS,all
4.669117219477764e-91,-1.237234785259009,0.223,0.447,9.41153957930133e-87,0,RNASET2,all
1.551081254849119e-90,-1.0272819446330652,0.228,0.462,3.1265144853993694e-86,0,TMEM123,all
3.041815690643229e-90,0.8004164790393442,0.502,0.295,6.1313878876295566e-86,0,ZEB2,all
1.8810255058267513e-89,-2.7446522160379963,0.027,0.191,3.7915831120949827e-85,0,RCAN3,all
1.1219910426652029e-88,1.0374058340103522,0.495,0.324,2.2615973447002495e-84,0,CLEC2B,all
2.994690219231667e-88,-1.8576283896417292,0.138,0.334,6.036397074905271e-84,0,NPC2,all
1.9278600692026133e-87,1.7901360678460299,0.195,0.067,3.885987541491708e-83,0,LLGL2,all
1.222188550333762e-86,-4.7683798440959855,0.007,0.149,2.463565460907764e-82,0,TNFSF13B,all
2.2486961123172596e-86,-5.193330705024939,0.004,0.144,4.5326967535979e-82,0,MPEG1,all
4.37593671315599e-86,-3.675686165977711,0.015,0.163,8.820575632708528e-82,0,CD68,all
7.30455283237846e-86,-0.4148849240202801,0.961,0.974,1.4723787144225263e-81,0,RPS11,all
1.1474831246633449e-85,-4.561979951949119,0.006,0.146,2.312981734383904e-81,0,LY86,all
1.6844736873702757e-85,1.0656132088217667,0.457,0.286,3.395393611632265e-81,0,AKNA,all
2.255980886850942e-85,-0.31389612585181936,0.982,0.986,4.547380673625444e-81,0,RPL29,all
2.576087963552369e-85,-2.505727650818793,0.045,0.211,5.19262050813251e-81,0,FCGRT,all
3.295424455180285e-85,1.4691882113232033,0.269,0.12,6.6425870743069e-81,0,C5orf56,all
3.2855727139034795e-84,0.8412905480262208,0.565,0.403,6.6227289194152434e-80,0,BIN2,all
8.18683982137905e-84,-2.5342850341305683,0.061,0.228,1.650221302795375e-79,0,GRN,all
2.4660114098001972e-83,-4.604448296243841,0.005,0.142,4.9707391987342575e-79,0,RNASE6,all
2.6916196998361664e-83,1.3100852745238025,0.292,0.136,5.425497828959761e-79,0,PYHIN1,all
2.90778914902727e-83,-1.0454266128021197,0.335,0.539,5.861230587694268e-79,0,ZFP36,all
5.056435895200026e-83,-2.436438605236317,0.087,0.26,1.0192257833954692e-78,0,TYMP,all
9.998367985091177e-83,-6.628739385290978,0.004,0.138,2.0153710347548284e-78,0,S100A12,all
1.1622776408555262e-82,-2.8374618031444045,0.024,0.174,2.3428030406724843e-78,0,CTSH,all
3.1940565579849247e-82,-3.222315560309783,0.048,0.207,6.438259803930213e-78,0,NAMPT,all
6.304732656307576e-82,0.48879897737238753,0.863,0.774,1.2708449615319181e-77,0,ARPC2,all
6.957025173593363e-82,0.6255752197741129,0.732,0.624,1.4023275642412143e-77,0,MYL12B,all
8.435075399128502e-82,-5.061140256245079,0.006,0.14,1.7002581482023322e-77,0,MS4A6A,all
1.351287560531285e-81,0.5898005212826005,0.765,0.636,2.7237903357629114e-77,0,AES,all
1.4108770496058686e-81,-1.88638161516673,0.077,0.253,2.8439048688905492e-77,0,RP11-160E2.6,all
2.0515755612629296e-81,-0.2982645192933413,0.989,0.992,4.135360858837687e-77,0,RPS24,all
4.365636996062963e-81,-0.36109091777395097,0.998,0.996,8.7998144929641145e-77,0,RPL21,all
4.974817356225126e-81,0.6950434826290213,0.475,0.283,1.0027739344942987e-76,0,CD247,all
1.220364797983412e-80,-2.9159037998622446,0.018,0.162,2.4598893232951636e-76,0,SPINT2,all
2.5172174574002803e-80,-4.49334665642049,0.008,0.141,5.073955228881745e-76,0,BANK1,all
6.368520035698934e-80,2.415344932541195,0.122,0.03,1.283702583595834e-75,0,KIF19,all
8.052361003871254e-80,-0.41103916197348056,0.974,0.96,1.6231144075503286e-75,0,RPS5,all
1.4308417424269788e-79,-0.30398349530251867,0.989,0.988,2.884147700210061e-75,0,RPS16,all
3.3511694470294257e-79,-5.367690619331745,0.077,0.237,6.754952254377213e-75,0,S100A8,all
8.768919127787156e-79,-1.0012447178756672,0.279,0.489,1.7675510285880569e-74,0,EVI2B,all
1.4108780761252209e-78,-2.4122471383264483,0.045,0.201,2.843906938045608e-74,0,CTSZ,all
1.4756823445521065e-78,-5.082543003942625,0.009,0.14,2.974532901913681e-74,0,IGHD,all
6.896118555475187e-78,0.906369454495255,0.457,0.288,1.3900506172271335e-73,0,RUNX3,all
1.0445821410772162e-77,1.409645385232236,0.273,0.129,2.1055642217693446e-73,0,TSEN54,all
1.8162974173986877e-77,-0.7559234349482113,0.457,0.657,3.6611107042505346e-73,0,NAP1L1,all
1.989409328764764e-77,1.6486433453247242,0.163,0.052,4.0100523839911346e-73,0,TTC38,all
1.505850206217558e-76,0.34166444286420905,0.998,0.998,3.035342260672732e-72,0,MT-CO1,all
2.4021132740826626e-76,1.6766426965864385,0.189,0.07,4.841939726568423e-72,0,TGFBR3,all
3.900182316614407e-76,1.6438398580004496,0.185,0.066,7.86159749559966e-72,0,F2R,all
4.421101353408584e-76,-4.685292416828432,0.005,0.131,8.911613998065683e-72,0,HCK,all
4.95272573168284e-76,0.5770400654302728,0.264,0.112,9.983209257353101e-72,0,SPON2,all
1.994315028749587e-74,-0.31621235312389473,0.993,0.991,4.0199408034505424e-70,0,RPL36,all
1.927709366810439e-73,0.615666996704149,0.737,0.642,3.885683770679802e-69,0,PTPRC,all
2.5731340181413346e-73,0.6837053580292516,0.64,0.502,5.186666240367489e-69,0,GUK1,all
3.436513194232999e-73,-3.858702377131445,0.013,0.14,6.926979645615455e-69,0,TNFRSF13C,all
6.520001422837039e-73,-5.820397308436407,0.003,0.121,1.314236686801262e-68,0,CPVL,all
6.925300286021467e-73,-1.8985639853615899,0.059,0.216,1.395932778653347e-68,0,LINC00936,all
7.531658602632895e-73,0.8931767414687981,0.422,0.25,1.5181564245327126e-68,0,RORA,all
7.842207503140804e-73,0.4487844515678576,0.867,0.793,1.580753766408092e-68,0,MYL12A,all
8.304487729391369e-73,-5.091900052739325,0.007,0.128,1.6739355916134182e-68,0,LGALS2,all
9.755851131016764e-73,-5.992126384692007,0.002,0.119,1.9664869124790492e-68,0,NCF2,all
1.1263183748100195e-72,1.092630766963343,0.415,0.268,2.270319948104556e-68,0,CD81,all
3.3837235476997385e-72,0.8821397179900867,0.484,0.323,6.820571555098363e-68,0,FYN,all
4.1733356780826616e-72,-2.025234744691963,0.043,0.192,8.412192726311221e-68,0,SYPL1,all
7.19734599900365e-72,-4.011950377174589,0.012,0.136,1.4507690330191657e-67,0,LINC00926,all
8.12638787878972e-72,-1.4049708544061759,0.187,0.363,1.6380360047276437e-67,0,IL7R,all
1.8066462873222284e-71,-2.7912990371788897,0.024,0.158,3.6416569213554154e-67,0,CXXC5,all
2.0071892331233336e-71,1.5521570404101521,0.194,0.076,4.0458913372067034e-67,0,SAMD3,all
3.920105607152491e-71,0.5645315046935848,0.682,0.532,7.901756872337276e-67,0,IFITM2,all
7.362717086618212e-71,-1.9240388677706837,0.416,0.513,1.484102883149633e-66,0,HLA-DRB1,all
8.454726245354629e-71,-0.3163999810771445,1,0.998,1.7042191692761325e-66,0,RPLP2,all
1.1445289322960903e-70,-1.8092380805156707,0.079,0.24,2.307026968829229e-66,0,NFKBIZ,all
1.6990261125907694e-70,-5.414872657351986,0.005,0.122,3.424726935149214e-66,0,CD14,all
1.841349959273176e-70,0.5672543427363823,0.751,0.656,3.7116091129069406e-66,0,PSME1,all
4.0318983693617845e-70,-2.4031758142598627,0.031,0.169,8.127097543122549e-66,0,BCL11A,all
4.1411579701151244e-70,-4.97352981766079,0.006,0.123,8.347332120361057e-66,0,MAFB,all
2.401414704947574e-69,-0.5620219362950079,0.627,0.775,4.840531620762825e-65,0,EIF3E,all
3.5627003910056665e-69,1.4247007516707288,0.212,0.088,7.181335178150122e-65,0,SLA2,all
1.1239876527630209e-68,0.5937078151603694,0.69,0.552,2.265621911674421e-64,0,LY6E,all
1.315589467551814e-68,-1.3526257161481539,0.237,0.417,2.6518336897441916e-64,0,MTRNR2L1,all
1.607079975010121e-68,-1.5180037393254588,0.177,0.35,3.239391105627901e-64,0,TKT,all
1.6905864118571396e-68,-0.3118953355884839,0.999,0.995,3.4077150303804364e-64,0,RPS6,all
1.7709555650164e-68,-1.686550534188188,0.073,0.231,3.569715132403557e-64,0,LTA4H,all
2.766452997333836e-67,-3.149257243756473,0.016,0.138,5.576339306725813e-63,0,MYC,all
5.4399191658950977e-67,0.99571708836528094,0.409,0.262,1.0965245062694747e-62,0,RNF166,all
1.0994366858320561e-66,1.0509227824315757,0.376,0.227,2.2161345276316756e-62,0,LAT,all
1.1147888043796053e-66,0.8505018557882775,0.525,0.385,2.24707979298797e-62,0,FLNA,all
1.2939108724346784e-66,-1.618920669935534,0.058,0.207,2.6081361455665814e-62,0,SLC31A2,all
2.807706946539379e-66,-3.7000083274149125,0.013,0.131,5.659494892139426e-62,0,CSF3R,all
5.483944397408373e-66,-4.731643168174303,0.009,0.123,1.1053986721856058e-61,0,DUSP6,all
6.49160756318917e-66,-2.2640234938244874,0.034,0.168,1.3085133365120411e-61,0,MAP3K1,all
1.8045537144268196e-65,-3.4083679516293777,0.017,0.136,3.63743892217014e-61,0,FGL2,all
2.49458082804985e-65,-5.0704655818512965,0.004,0.113,5.0283265751000826e-61,0,CLEC12A,all
2.654543237681115e-65,-2.850314510758897,0.037,0.169,5.350762804193824e-61,0,CD83,all
7.320684772445806e-65,2.126433613314168,0.116,0.033,1.475630429581901e-60,0,JAKMIP1,all
1.0866516018782951e-64,-2.4237502425853252,0.076,0.221,2.1903636339060794e-60,0,RGS2,all
1.1931169206096061e-64,-1.4668238349042826,0.11,0.275,2.404965776872783e-60,0,WDR74,all
3.94108719203601e-64,1.1001330834850829,0.323,0.18,7.944049452986985e-60,0,ZAP70,all
1.2915504941639271e-63,-1.9477775318947825,0.062,0.204,2.603378331086228e-59,0,RNF130,all
1.970047634269983e-62,1.16563500606602,0.299,0.163,3.971025016398005e-58,0,SYNE1,all
8.831865574313619e-62,1.8670765835244967,0.172,0.068,1.7802391438143962e-57,0,TRGC1,all
1.618465402962551e-61,-4.237090789960968,0.006,0.111,3.2623407127516143e-57,0,TGFBI,all
2.241376301798993e-61,-1.1912512304181675,0.189,0.365,4.5179422115362304e-57,0,ZFP36L1,all
3.405943371673967e-61,1.1239308240403787,0.28,0.148,6.865360054283215e-57,0,TPST2,all
3.937399979034705e-61,-5.876761526872813,0.002,0.102,7.936617137740254e-57,0,BASP1,all
4.839965737252186e-61,-0.2533324697197843,1,0.999,9.755918936579232e-57,0,EEF1A1,all
5.7069034827119e-61,0.9981950352951918,0.382,0.242,1.1503405350102377e-56,0,ARPC5L,all
6.6308580064086e-61,-0.8496721388503348,0.656,0.755,1.3365820483517814e-56,0,VIM,all
7.732688269220351e-61,-1.6220815148708014,0.078,0.224,1.5586779744267461e-56,0,BIRC3,all
8.407047090920524e-61,-0.8691347963863445,0.285,0.474,1.69460848211685e-56,0,FOXP1,all
1.4720668345626624e-60,1.3602818855126126,0.208,0.093,2.9672451184279586e-56,0,SH2D2A,all
2.258106939626717e-60,1.0765135385591993,0.321,0.184,4.551666158205573e-56,0,ITGAL,all
3.240657350270924e-60,-3.504909897870501,0.008,0.112,6.532193020941101e-56,0,SYK,all
3.65333070076974e-60,2.3463325660696137,0.094,0.024,7.364018693541565e-56,0,RAB11FIP5,all
6.83463016874582e-60,-4.383630559967995,0.005,0.106,1.3776564031140949e-55,0,LY96,all
3.255015730590795e-59,-4.051470644824077,0.006,0.107,6.561135208151865e-55,0,SLC7A7,all
6.368869234610847e-59,-2.0542794957239594,0.035,0.159,1.2837729716205084e-54,0,LGALS9,all
7.847774267888714e-59,-1.8800600801903633,0.046,0.175,1.581875859178328e-54,0,JAML,all
1.1838376200306695e-58,1.1141311484990062,0.366,0.236,2.3862614906958205e-54,0,SSBP4,all
1.3162413425878156e-58,-5.601596089818554,0.002,0.099,2.65314767425426e-54,0,VPREB3,all
1.644534480030481e-58,-1.4710838329908504,0.148,0.304,3.314888151397441e-54,0,BRI3,all
2.3090096564215514e-58,1.5633664013389887,0.191,0.084,4.6542707644489214e-54,0,TRG-AS1,all
2.4328883831172726e-58,-2.932006592952638,0.015,0.124,4.9039731138494866e-54,0,HHEX,all
2.8961339476215963e-58,-5.400854437710784,0.002,0.097,5.837737198220852e-54,0,RAB31,all
3.845962305121812e-58,-3.830407769014223,0.008,0.109,7.752306218434036e-54,0,PLAUR,all
1.3846695748307072e-57,-4.537551705407399,0.003,0.1,2.7910784619862566e-53,0,MAL,all
1.8776368837710027e-57,-3.783913355249287,0.006,0.104,3.78475266661721e-53,0,SNN,all
3.294070297044454e-57,-1.752556985928957,0.052,0.182,6.639857497752506e-53,0,EBF1,all
6.820429935426535e-57,-1.6618785988020015,0.113,0.262,1.3747940620839265e-52,0,TIMP1,all
8.277210057918835e-57,1.5815256477888147,0.149,0.056,1.6684372313746995e-52,0,SYTL2,all
1.6138803162116214e-56,0.9884176051781597,0.311,0.177,3.2530985533877653e-52,0,STAT4,all
2.2233851446210975e-56,-0.9764092164941776,0.171,0.342,4.481677436012746e-52,0,PLP2,all
2.8954811797212554e-56,-5.064004206922281,0.003,0.097,5.836421413964135e-52,0,LRRC25,all
4.063335327560801e-56,-4.303327585646713,0.004,0.099,8.190465019764306e-52,0,LYL1,all
4.676383401207811e-56,-1.653042924239636,0.076,0.211,9.426186021814585e-52,0,CTSB,all
