p,avg_Log2FC,pct.1,pct.2,p_adj,cluster_my,symbol,group
0.0011173547220753716,3.5901528035513692,0.002,0,1,2,M1AP,all
0.0011173547220753716,4.010976812941463,0.002,0,1,2,ADIRF,all
0.0011173547220753716,3.339261726369255,0.002,0,1,2,RP11-930O11.1,all
0.0011182916350801562,3.217860725290911,0.002,0,1,2,CKM,all
0.0011182916350801562,3.14335204403951,0.002,0,1,2,KCTD14,all
0.0011185104369054381,-0.9191099840435499,0.036,0.057,1,2,DNAJC30,all
0.001118642159547459,2.1192436069141545,0.003,0,1,2,RP5-965G21.6,all
0.001118642159547459,2.525944099778913,0.003,0,1,2,LINC01102,all
0.0011193836801005992,2.363977410389512,0.003,0,1,2,AC018766.6,all
0.0011195495747922297,-0.6457086645659027,0.06,0.084,1,2,JAK3,all
0.0011201676405471488,2.846252659413092,0.002,0,1,2,FAT1,all
0.0011232041687315266,-1.5837780846230487,0.006,0.017,1,2,CUBN,all
0.001129262048449366,-1.4266240468533131,0.01,0.023,1,2,RALGPS1,all
0.001131094893254602,-0.3615975351411826,0.181,0.214,1,2,CNOT1,all
0.0011311888336653464,-0.30671720910881056,0.177,0.211,1,2,TNIP1,all
0.001131272059173793,-1.4581311990992138,0.015,0.03,1,2,FANCA,all
0.001134953369663481,-1.5910692057724947,0.01,0.023,1,2,MTMR2,all
0.001135544900811415,-1.222586505197345,0.012,0.026,1,2,TNFRSF9,all
0.0011372868074305442,0.2616992543989478,0.115,0.087,1,2,HNRNPAB,all
0.0011388010158272968,-2.6445006507107465,0.002,0.012,1,2,RP11-531A24.3,all
0.0011506587072394674,1.605773327107185,0.011,0.004,1,2,LINC01023,all
0.0011545853191793892,-3.4959994359932107,0.001,0.01,1,2,AC241585.2,all
0.0011558035317253323,-2.0771209525815735,0.002,0.012,1,2,BEND5,all
0.0011638178496668102,0.9765870258839842,0.008,0.003,1,2,TUSC1,all
0.0011677003717436936,-0.41287137431669263,0.135,0.167,1,2,FNTA,all
0.001168212801999088,0.6653875088587267,0.043,0.028,1,2,MFSD5,all
0.0011717584186477495,-1.1935100766514002,0.01,0.023,1,2,NME7,all
0.0011726560638367282,1.3829239700291551,0.017,0.008,1,2,TMEM17,all
